key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id;;;;;;;;;;;;;;;;;;;;;;;;;;
"rayyan-496397661,Effect of Private Deliberation: Deception of Large Language Models in Game Play,2024,,,Entropy,,26,6,,""Poje, K. and Brcic, M. and Kovac, M. and Babac, M.B."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197914861&doi=10.3390%2Fe26060524&partnerID=40&md5=bed656f4068bf35bc2b227e4386d66db,English,,,""Integrating large language model (LLM) agents within game theory demonstrates their ability to replicate human-like behaviors through strategic decision making. In this paper, we introduce an augmented LLM agent, called the private agent, which engages in private deliberation and employs deception in repeated games. Utilizing the partially observable stochastic game (POSG) framework and incorporating in-context learning (ICL) and chain-of-thought (CoT) prompting, we investigated the private agent’s proficiency in both competitive and cooperative scenarios. Our empirical analysis demonstrated that the private agent consistently achieved higher long-term payoffs than its baseline counterpart and performed similarly or better in various game settings. However, we also found inherent deficiencies of LLMs in certain algorithmic capabilities crucial for high-quality decision making in games. These findings highlight the potential for enhancing LLM agents’ performance in multi-player games using information-theoretic approaches of deception and communication with complex environments. © 2024 by the authors."",Export Date: 08 April 2026,10.3390/e26060524,decision making";game theory;generative agents;large language models;private deliberation,,;;;;;;;;;;;;;;;;;;;;;;
"rayyan-496397664,Exploring the Potential of Large Language Models (LLMs) to Simulate Social Group Dynamics: A Case Study Using the Board Game “Secret Hitler”,2025,,,Northeast Journal of Complex Systems,,7,2,,""Hansteen Izora, K. and Teuscher, C."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009433015&doi=10.63562%2F2577-8439.1111&partnerID=40&md5=dea7894b318e3b48a33664471cd36fab,English,,,""This study explores the capacity of large language model (LLM)-powered agents to simulate human-like behavior in multiagent social systems. Using Secret Hitler—a hidden-role board game centered on trust, deception, and strategic communication—we evaluate how LLM agents navigate dynamic group interactions. Our findings show that agents exhibit human-like behaviors, including strategic tempo-ral adaptation, contextual reasoning, and complex social cognition such as theory of mind and implicit coordination. Notably, 85% of agent decisions factored in at least two other players’ mental states, highlighting their capacity for multi-agent mental state inference. However, they struggled with key aspects of human gameplay, including more nuanced strategic deception, emotional subtlety, and fluid conversational dynamics. These insights contribute to computational social science, agent-based modeling, and game theory, advancing our understanding of the potential of LLMs to simulate complex social interaction. © 2025, Binghamton University Libraries. All rights reserved."",Export Date: 08 April 2026,10.63562/2577-8439.1111,"""",,";;;;;;;;;;;;;;;;;;;;;;;;;;
"rayyan-496397670,""MAgÏC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration"",2024,,,""EMNLP 2024 - 2024 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference"",,,,7315-7332,""Xu, L. and Hu, Z. and Zhou, D. and Ren, H. and Dong, Z. and Keutzer, K. and Ng, S.-K. and Feng, J."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214720002&doi=10.18653%2Fv1%2F2024.emnlp-main.416&partnerID=40&md5=2a480a4f81b408ac438f1daf8d5d1271,English,,,""Large Language Models (LLMs) have significantly advanced natural language processing, demonstrating exceptional reasoning, tool usage, and memory capabilities. As their applications expand into multi-agent environments, there arises a need for a comprehensive evaluation framework that captures LLMs' reasoning, planning, collaboration, and other social abilities. This work introduces a novel competition-based benchmark framework specifically designed to assess LLMs within multi-agent settings, providing quantitative metrics to evaluate their judgment, reasoning, deception, self-awareness, cooperation, coordination, and rationality. We utilize two social deduction games alongside three game-theory scenarios to create diverse environments. Our frame is fortified with the probabilistic graphic modeling (PGM) method, enhancing the LLMs' capabilities in navigating complex social and cognitive dimensions. We evaluate seven LLMs, quantitatively highlighting a significant capability gap of over threefold between the strongest, GPT o1, and the weakest, Llama-2-70B. It also confirms that our PGM enhancement boosts the abilities of all selected models by an average of 37%. Our data and code can be found here https://github.com/cathyxl/MAgIC. © 2024 Association for Computational Linguistics."",""Export Date: 08 April 2026"; Conference name: 2024 Conference on Empirical Methods in Natural Language Processing, EMNLP 2024; Conference date: 12 November 2024 through 16 November 2024;" Conference code: 205882"",10.18653/v1/2024.emnlp-main.416,Benchmarking";Economic and social effects;Intelligent agents;Natural language processing systems;Comprehensive evaluation;Evaluation framework;Language model;Language processing;Memory capabilities;Multi agent;Multi-agent environment;Natural languages;Probabilistic graphic models;Tool usages;Computational linguistics,,;;;;;;;;;
"rayyan-496397680,Evaluating Negotiation Capabilities of Large Language Models: From Ultimatum Games to Nash Bargaining,2025,,,Proceedings of the Human Factors and Ergonomics Society,,69,1,1881-1886,""Bhattacharya, A. and Svedas, G. and Lyskov, A. and Strasser, M. and Barberis Canonico, L."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031686445&doi=10.1177%2F10711813251372102&partnerID=40&md5=c5e1b10d1485c1947ce2f189e32d2c6b,English,,,""Negotiation is a live, back-and-forth process—exactly the kind of human interaction today’s static AI benchmarks miss. We created interactive agent environments based on two classic game-theory paradigms—the one-shot Ultimatum Game and the open-ended Nash Bargaining task—to watch large language models (LLMs) reason, cooperate, and compete as the deal keeps changing. Using the Harvard Negotiation Project’s six principles (Interests, Legitimacy, Relationship, Options, Commitment, Communication) we scored a variety of large language models across hundreds of rounds. Llama-3 generally struck the most effective bargains";" Claude-3 leaned aggressive—maximizing its own gain but risking push-back—while GPT-4 offered the fairest splits. The results spotlight both promise and pitfalls: today’s top LLMs can already secure mutually beneficial deals, yet still falter on consistency, legitimacy, and commitment when stakes rise. Our open-source benchmark invites human-factors researchers to probe these behaviors, design safer negotiation workflows, and study how mixed human-AI teams might unlock even better outcomes. Copyright © 2025 Human Factors and Ergonomics Society"",""Export Date: 08 April 2026"; Conference name: 69th Human Factors and Ergonomics Society Annual Meeting, HFES 2025; Conference date: 13 October 2025 through 17 October 2025;" Conference code: 210706"",10.1177/10711813251372102,artificial intelligence";game theory;large language models;Artificial intelligence;Behavioral research;Computation theory;Computational methods;Ergonomics;Human computer interaction;Intelligent agents;Behavior design;Harvard;Humaninteraction;Interactive agents;Language model;Large language model;Nash bargaining;Open-source;Ultimatum game;Work-flows;Game theory,,;;
"rayyan-496397683,K-Level Reasoning: Establishing Higher Order Beliefs in Large Language Models for Strategic Reasoning,2025,,,""Proceedings of the 2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies: Long Papers, NAACL-HLT 2025"",,1,,7212-7234,""Zhang, Y. and Mao, S. and Ge, T. and Wang, X. and Xia, Y. and Lan, M. and Wei, F."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027369798&doi=10.18653%2Fv1%2F2025.naacl-long.370&partnerID=40&md5=992a4bd62cf54a3351b3d6276e855993,English,,,""Strategic reasoning is a complex yet essential capability for intelligent agents. It requires Large Language Model (LLM) agents to adapt their strategies dynamically in multi-agent environments. Unlike static reasoning tasks, success in these contexts depends on anticipating other agents' beliefs and actions while continuously adjusting strategies to achieve individual goals. LLMs and LLM agents often struggle with strategic reasoning due to the absence of a reasoning framework that enables them to dynamically infer others' perspectives and adapt to changing environments. Inspired by the Level-K framework from game theory and behavioral economics, which extends reasoning from simple reactions to structured strategic depth, we propose a novel framework: """"K-Level Reasoning with Large Language Models (K-R)."""" This framework employs recursive mechanisms to enable LLMs to achieve varying levels of strategic depth, allowing agents to form higher order beliefs-beliefs about others' beliefs. We validate this framework through rigorous testing on four testbeds: two classical game theory problems and two social intelligence tasks. The results demonstrate the advantages of K-R in strategic reasoning. Our work presents the first recursive implementation of strategic depth in large language models (LLMs). It establishes a foundation for future research into theory of mind and strategic reasoning in LLMs. © 2025 Association for Computational Linguistics."",""Export Date: 08 April 2026"; Conference name: 2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL-HLT 2025; Conference date: 29 April 2025 through 4 May 2025;" Conference code: 215900"",10.18653/v1/2025.naacl-long.370,Agents";Computational linguistics;Economics;Intelligent agents;Learning systems;Multi agent systems;Natural language processing systems;Agent beliefs;Changing environment;High-order;Higher-order;Language model;Model agents;Multi-agent environment;Reasoning framework;Reasoning tasks;Strategic reasoning;Game theory,,;;;;;;
"rayyan-496397684,Game of Thoughts: Iterative Reasoning in Game-Theoretic Domains with Large Language Models,2025,,,""Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS"",,,,1088-1097,""Kempinski, B. and Gemp, I. and Larson, K. and Lanctot, M. and Bachrach, Y. and Kachman, T."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009810182&partnerID=40&md5=e1a466de7320621f63e69597710ea40e,English,,,""We explore the strategic reasoning capabilities of large language models (LLMs). We first show that naively allowing LLMs to select actions in games can lead to sub-optimal and easily exploitable strategies. To address this limitation we propose several algorithms that guide LLMs to iteratively refine their action choices by simulating game outcomes in self-play, akin to cognitive hierarchy models used to characterize human thought processes in strategic settings. Our empirical results in several prominent resource allocation and auction settings indicate that our approach produces stronger and less exploitable strategies. Hence, emulating human decision-making models can enable us to improve the reasoning capabilities of LLMs in multiagent interactions. © 2025 International Foundation for Autonomous Agents and Multiagent Systems (www.ifaamas.org)."",""Export Date: 08 April 2026"; Conference name: 24th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2025; Conference date: 19 May 2025 through 23 May 2025;" Conference code: 209812"",,Game Theory";LLMs;Theory of Mind;Autonomous agents;Decision making;Iterative methods;Multi agent systems;Game-theoretic;Hierarchy models;Language model;Large language model;Reasoning capabilities;Resources allocation;Self-play;Strategic reasoning;Theory of minds;Thought process;Game theory,,;;;;;;
"rayyan-496397686,DO LLM AGENTS HAVE REGRET? A CASE STUDY IN ONLINE LEARNING AND GAMES,2025,,,""13th International Conference on Learning Representations, ICLR 2025"",,,,71801-71821,""Park, C. and Liu, X. and Ozdaglar, A. and Zhang, K."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010280509&partnerID=40&md5=ad12752d020ad72e89516f7aaa88b7b5,English,,,""Large language models (LLMs) have been increasingly employed for (interactive) decision-making, via the development of LLM-based autonomous agents. Despite their emerging successes, the performance of LLM agents in decision-making has not been fully investigated through quantitative metrics, especially in the multi-agent setting when they interact with each other, a typical scenario in real-world LLM-agent applications. To better understand the limits of LLM agents in these interactive environments, we propose to study their interactions in benchmark decision-making settings of online learning and game theory, through the performance metric of regret. We first empirically study the no-regret behaviors of LLMs in canonical non-stochastic online learning problems, as well as the emergence of equilibria when multiple of them interact through playing repeated games. We then provide some theoretical insights into the sublinear regret growth in the cases we observed, under certain assumptions on (supervised) pre-training and the data generation model. Notably, we also identify (simple) cases where advanced LLMs such as GPT-4 fail to be no-regret. To further promote the no-regret behaviors, we propose a novel unsupervised training loss, the regret-loss, which, in contrast to the supervised pre-training loss, does not require the labels of (optimal) actions. Finally, we establish the statistical guarantee of generalization bound for regret-loss minimization, and more importantly, the optimization guarantee that minimizing such a loss can lead to known no-regret learning algorithms, when single-layer self-attention models are used. Our further experiments demonstrate the effectiveness of our regret-loss, especially in addressing the above “regrettable” cases. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved."",""Export Date: 08 April 2026"; Conference name: 13th International Conference on Learning Representations, ICLR 2025; Conference date: 24 April 2025 through 28 April 2025;" Conference code: 209472"",,Agents";Benchmarking;Decision making;Decision theory;E-learning;Game theory;Learning algorithms;Multi agent systems;Personnel training;Case-studies;Decisions makings;Interactive decision making;Language model;Model agents;Model-based OPC;On-line games;Online learning;Performance;Pre-training;Autonomous agents,,;;;;
"rayyan-496397688,COMPETING LARGE LANGUAGE MODELS IN MULTI-AGENT GAMING ENVIRONMENTS,2025,,,""13th International Conference on Learning Representations, ICLR 2025"",,,,28932-28974,""Huang, J.-T. and Li, E.J. and Lam, M.H. and Liang, T. and Wang, W. and Yuan, Y. and Jiao, W. and Wang, X. and Tu, Z. and Lyu, M.R."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010183122&partnerID=40&md5=1b05c20172f0e36f4aecaede0d7d7ba3,English,,,""Decision-making is a complex process requiring diverse abilities, making it an excellent framework for evaluating Large Language Models (LLMs). Researchers have examined LLMs' decision-making through the lens of Game Theory. However, existing evaluation mainly focus on two-player scenarios where an LLM competes against another. Additionally, previous benchmarks suffer from test set leakage due to their static design. We introduce GAMA(γ)-Bench, a new framework for evaluating LLMs' Gaming Ability in Multi-Agent environments. It includes eight classical game theory scenarios and a dynamic scoring scheme specially designed to quantitatively assess LLMs' performance. γ-Bench allows flexible game settings and adapts the scoring system to different game parameters, enabling comprehensive evaluation of robustness, generalizability, and strategies for improvement. Our results indicate that GPT-3.5 demonstrates strong robustness but limited generalizability, which can be enhanced using methods like Chain-of-Thought. We also evaluate 13 LLMs from 6 model families, including GPT-3.5, GPT-4, Gemini, LLaMA-3.1, Mixtral, and Qwen-2. Gemini-1.5-Pro outperforms others, scoring of 69.8 out of 100, followed by LLaMA-3.1-70B (65.9) and Mixtral-8x22B (62.4). Our code and experimental results are publicly available at https://github.com/CUHK-ARISE/GAMABench. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved."",""Export Date: 08 April 2026"; Conference name: 13th International Conference on Learning Representations, ICLR 2025; Conference date: 24 April 2025 through 28 April 2025;" Conference code: 209472"",,"""",,";;;;;;;;;;;;;;;;;;;;;;;
"rayyan-496397689,Learning Strategic Language Agents in the Werewolf Game with Iterative Latent Space Policy Optimization,2025,,,Proceedings of Machine Learning Research,,267,,69217-69239,""Xu, Z. and Gu, W. and Yu, C. and Wu, Y. and Wang, Y."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023638981&partnerID=40&md5=75dd8d3ac181978325953850147305fa,English,,,""Large language model (LLM) agents have recently demonstrated impressive capabilities in various domains like open-ended conversation and multi-step decision-making. However, it remains challenging for these agents to solve strategic language games, such as Werewolf, which demand both strategic decision-making and free-form language interactions. Existing LLM agents often suffer from intrinsic bias in their action distributions and limited exploration of the unbounded text action space, resulting in suboptimal performance. To address these challenges, we propose Latent Space Policy Optimization (LSPO), an iterative framework that combines game-theoretic methods with LLM fine-tuning to build strategic language agents. LSPO leverages the observation that while the language space is combinatorially large, the underlying strategy space is relatively compact. We first map free-form utterances into a finite latent strategy space, yielding an abstracted extensive-form game. Then we apply game-theoretic methods like Counterfactual Regret Minimization (CFR) to optimize the policy in the latent space. Finally, we fine-tune the LLM via Direct Preference Optimization (DPO) to align with the learned policy. By iteratively alternating between these steps, our LSPO agents progressively enhance both strategic reasoning and language communication. Experiment on the Werewolf game shows that our agents iteratively expand the strategy space with improving performance and outperform existing Werewolf agents, underscoring their effectiveness in free-form language games with strategic interactions. © 2025 by the author(s)."",""Export Date: 08 April 2026"; Conference name: 42nd International Conference on Machine Learning, ICML 2025; Conference date: 13 July 2025 through 19 July 2025;" Conference code: 340759"",,Abstracting";Decision making;Game theory;Iterative methods;Decisions makings;Freeforms;Game-theoretic;Language games;Language model;Model agents;Multisteps;Policy optimization;Space policy;Strategy space;Optimization,,;;;;;;;;;
"rayyan-496397691,The Illusion of Randomness: How LLMs Fail to Emulate Stochastic Decision-Making in Rock-Paper-Scissors Games?,2025,,,""EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2025"",,,,8618-8637,""Guo, Z. and Lv, H. and Zhang, C. and Zhao, Y. and Zhang, Y. and Cui, L."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028952933&doi=10.18653%2Fv1%2F2025.findings-emnlp.458&partnerID=40&md5=2d09f869796c364ba33c2f7a8a550e60,English,,,""Prior research indicates that although large language models (LLMs) can precisely articulate the theoretical probability distributions associated with optimal strategic choices, their actual decision-making systematically diverges from these prescriptions—a phenomenon we define as the cognition–behaviour gap in LLMs. For example, in a Rock–Paper–Scissors (RPS) game, LLMs correctly identify the strategy of Nash equilibrium as selecting each action (Rock, Paper, Scissors) with equal probability 13 , but their observed choices systematically deviate from this uniform distribution. Through a comprehensive evaluation of 20 state-of-the-art LLMs, we identify two critical insights: (1) we demonstrate that intrinsic biases inherited from pre-training corpora alone are insufficient to explain the observed deviations";" (2) we introduce a semantic-free paradigm that strips away intrinsic biases to isolate pure positional bias-LLMs exhibit distinct position preferences—for example, o1 favours the first option, DeepSeek-V3 peaks the middle and DeepSeek-R1 shows a bimodal bias toward first and last positions. Our findings advocate innovation to bridge the gap between strategic reasoning and decision-making in LLMs. ©2025 Association for Computational Linguistics."",""Export Date: 08 April 2026"; Conference name: 30th Conference on Empirical Methods in Natural Language Processing, EMNLP 2025; Conference date: 4 November 2025 through 9 November 2025;" Conference code: 216600"",10.18653/v1/2025.findings-emnlp.458,Behavioral research";Computational linguistics;Decision making;Decision theory;Nash equilibrium;Probability distributions;Semantics;Tools;Comprehensive evaluation;Decisions makings;Equal probability;Intrinsic bias;Language model;Nash equilibria;Probability: distributions;Stochastics;Strategic choice;Uniform distribution;Stochastic systems,,;;;;
"rayyan-496397696,Exploring the Integration of Large Language Models and Monte Carlo Tree Search in Team Formation for Turn-Based Games: a case-study with the VGC AI Competition,2025,,,IEEE Transactions on Games,,,,,""Ferrero, Á. and Barambones, J. and Cano-Benito, J."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017313129&doi=10.1109%2FTG.2025.3613232&partnerID=40&md5=640546db997878a4895bbd98ec22b200,English,,,""The integration of Large Language Models (LLMs) with Monte Carlo Tree Search (MCTS) offers a novel approach to tackle decision-making challenges in turn-based strategy games, a domain where traditional methods face scalability and adaptability limitations. The objective is to explore the feasibility of LLMs in improving MCTS strategic reasoning by processing dynamic and probabilistic game states. Although prior research has demonstrated the strengths of MCTS in tactical optimization and the potential of LLMs in natural language reasoning, the synergy between these approaches remains underexplored. To explore this gap, this study faces the team formation problem in the Pokémon VGC AI framework through “PokeHit”, a hybrid AI agent that incorporates LLM-driven reasoning within the MCTS pipeline. By testing open-source models as Llama and Mistral, this work evaluates their ability to guide macro-strategy decisions and compares their performance against baseline-heuristic algorithms. Results reveal that LLMs can provide strategies dynamically but suffer from limitations, including hallucinations and inconsistent improvements over traditional methods. However, this research supports the feasibility and challenges of hybrid AI approaches in fine-tuning and policy design to improve their efficiency. The findings aim to contribute to the field of intelligent game agents through the applicability of LLMs in decision-making domains. © 2018 IEEE."",Export Date: 08 April 2026,10.1109/TG.2025.3613232,Case study";Intelligent game agents;Large Language Models;Monte-Carlo Tree Search;Team Formation;Turn-based games;Artificial intelligence;Behavioral research;Computation theory;Decision trees;Forestry;Game theory;Intelligent agents;Natural language processing systems;Optimization;Case-studies;Decisions makings;Intelligent game agent;Language model;Large language model;Monte-carlo tree search;Strategy games;Team formation;Tree-search;Turn-based game;Heuristic algorithms;Monte Carlo methods,,
"rayyan-496397704,PokéChamp: an Expert-level Minimax Language Agent,2025,,,Proceedings of Machine Learning Research,,267,,29205-29222,""Karten, S. and Nguyen, A.L. and Jin, C."",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023837338&partnerID=40&md5=f1269005598036e2e728d4c35d569eab,English,,,""We introduce PokéChamp, a minimax agent powered by Large Language Models (LLMs) for Pokémon battles. Built on a general framework for two-player competitive games, PokéChamp leverages the generalist capabilities of LLMs to enhance minimax tree search. Specifically, LLMs replace three key modules: (1) player action sampling, (2) opponent modeling, and (3) value function estimation, enabling the agent to effectively utilize gameplay history and human knowledge to reduce the search space and address partial observability. Notably, our framework requires no additional LLM training. We evaluate PokéChamp in the popular Gen 9 OU format. When powered by GPT-4o, it achieves a win rate of 76% against the best existing LLM-based bot and 84% against the strongest rule-based bot, demonstrating its superior performance. Even with an open-source 8billion-parameter Llama 3.1 model, PokéChamp consistently outperforms the previous best LLMbased bot, Pokéllmon powered by GPT-4o, with a 64% win rate. PokéChamp attains a projected Elo of 1300-1500 on the Pokémon Showdown online ladder, placing it among the top 30%-10% of human players. In addition, this work compiles the largest real-player Pokémon battle dataset, featuring over 3 million games, including more than 500k high-Elo matches. Based on this dataset, we establish a series of battle benchmarks and puzzles to evaluate specific battling skills. We further provide key updates to the local game engine. This work establishes Pokémon as a benchmark to integrate LLM technologies with game-theoretic algorithms addressing general multi-agent problems. Videos, code, and dataset are available online. © 2025, ML Research Press. All rights reserved."",""Export Date: 08 April 2026"; Conference name: 42nd International Conference on Machine Learning, ICML 2025; Conference date: 13 July 2025 through 19 July 2025;" Conference code: 340759"",,Computational methods";Function evaluation;Game theory;Intelligent agents;Multi agent systems;Observability;Open systems;Competitive games;Function estimation;Gameplay;Human knowledge;Language model;Minimax;Opponent models;Player action;Tree-search;Value functions;Agents,,;;;;;;
