key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-496397661,Effect of Private Deliberation: Deception of Large Language Models in Game Play,2024,,,Entropy,,26,6,,"Poje, K. and Brcic, M. and Kovac, M. and Babac, M.B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197914861&doi=10.3390%2Fe26060524&partnerID=40&md5=bed656f4068bf35bc2b227e4386d66db,English,,,,Export Date: 08 April 2026,10.3390/e26060524,decision making;game theory;generative agents;large language models;private deliberation,,
rayyan-496397662,Toward Optimal LLM Alignments Using Two-Player Games,2025,,,"EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2025",,,,78-99,"Zheng, R. and Guo, H. and Liu, Z. and Zhang, X. and Yao, Y. and Xu, X. and Wang, Z. and Xi, Z. and Gui, T. and Zhang, Q. and Huang, X. and Li, H. and Liu, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028985515&doi=10.18653%2Fv1%2F2025.findings-emnlp.6&partnerID=40&md5=4469f6d35b0eb78f24bf9ca1748ef78b,English,,,,"Export Date: 08 April 2026; Conference name: 30th Conference on Empirical Methods in Natural Language Processing, EMNLP 2025; Conference date: 4 November 2025 through 9 November 2025; Conference code: 216600",10.18653/v1/2025.findings-emnlp.6,Adversarial machine learning;Alignment;Computational linguistics;Feedback;Game theory;Nash equilibrium;Adversarial agent;Human intentions;Iterative interaction;Language model;Learning optimizations;Performance;Reinforcement learnings;Through the lens;Two agents;Two-player games;Agents,,
rayyan-496397663,Consensus Without Authority: A Meta-Protocol Framework for Decentralized Collective Cognition,2025,,,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",,,,3641-3646,"Ferenczi, A. and Badica, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033149543&doi=10.1109%2FSMC58881.2025.11342454&partnerID=40&md5=bbdc52b92673a2abccdcb1967585a45c,English,,,,"Export Date: 08 April 2026; Conference name: 2025 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2025; Conference date: 5 October 2025 through 8 October 2025; Conference code: 219622",10.1109/SMC58881.2025.11342454,Distributed ledger;Federated learning;Intelligent agents;Interoperability;Nash equilibrium;Network security;'current;Centralised;Collective cognition;Collective intelligences;Decentralised;Heterogeneous database;Modern applications;Nash equilibria;Protocol framework;Two phase commit;Autonomous agents,,
rayyan-496397664,Exploring the Potential of Large Language Models (LLMs) to Simulate Social Group Dynamics: A Case Study Using the Board Game “Secret Hitler”,2025,,,Northeast Journal of Complex Systems,,7,2,,"Hansteen Izora, K. and Teuscher, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009433015&doi=10.63562%2F2577-8439.1111&partnerID=40&md5=dea7894b318e3b48a33664471cd36fab,English,,,,Export Date: 08 April 2026,10.63562/2577-8439.1111,"",,
rayyan-496397665,"Development of Science Delay of Gratification Scale (SDOGS): Novel Amalgamation of Automated Item Generation, Genetic Algorithm, Nash equilibrium and Network Approaches in Psychometrics",2025,,,International Journal of Basic and Applied Sciences,,14,3,317-331,"Chakraborty, R. and Singh, P.P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012894638&doi=10.14419%2Ftex0pd96&partnerID=40&md5=e1b809216f9c220d503004e31eb85283,English,,,,Export Date: 08 April 2026,10.14419/tex0pd96,Automated Item Generation;Genetic Algorithm;Nash Equilibrium;Network Psychometrics;Science Delay of Gratification;Secondary School Students,,
rayyan-496397666,Human-AI Collaboration in Cooperative Games: A Study of Playing Codenames with an LLM Assistant,2024,,,Proceedings of the ACM on Human-Computer Interaction,,8,,,"Sidji, M. and Smith, W. and Rogerson, M.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207444371&doi=10.1145%2F3677081&partnerID=40&md5=7c15683f562b17239324cb115aab039f,English,,,,Export Date: 08 April 2026,10.1145/3677081,boardgames;boardgames;human-AI Interaction;human-AI Teaming;Human-Computer Interaction;teaming;theory of mind;Cognitive systems;Computer games;Economic and social effects;Human engineering;Boardgame;Computer interaction;Cooperative game;Human-AI interaction;Human-AI teaming;Partial information;Social dynamics;Teaming;Theory of minds,,
rayyan-496397667,Game Theory Meets Large Language Models: A Systematic Survey,2025,,,IJCAI International Joint Conference on Artificial Intelligence,,,,10669-10677,"Sun, H. and Wu, Y. and Cheng, Y. and Chu, X.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021800912&doi=10.24963%2Fijcai.2025%2F1184&partnerID=40&md5=f4241b65ea4880f5ef7de9303ce5ba7d,English,,,,"Export Date: 08 April 2026; Conference name: 34th Internationa Joint Conference on Artificial Intelligence, IJCAI 2025; Conference date: 16 August 2025 through 22 August 2025; Conference code: 214151",10.24963/ijcai.2025/1184,Artificial intelligence;Benchmarking;Decision making;Decision theory;Surveying;Algorithmics;Decision makers;Game models;Game-Based;Game-theoretic;Language model;Modeling behaviour;Modeling performance;Societal impacts;Strategic interactions;Game theory,,
rayyan-496397668,Unlocking the Potential of Decentralized LLM-based MAS: Privacy Preservation and Monetization in Collective Intelligence,2025,,,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",,,,2896-2900,"Yang, Y. and Peng, Q. and Wang, J. and Wen, Y. and Zhang, W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009839532&partnerID=40&md5=4a7d7ad4bcc063af3ae15bee026fb9c5,English,,,,"Export Date: 08 April 2026; Conference name: 24th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2025; Conference date: 19 May 2025 through 23 May 2025; Conference code: 209812",,data privacy;LLM;LLM-based MAS;monetization;Autonomous agents;Complex networks;Decentralized systems;Intelligent agents;Machine design;Privacy-preserving techniques;Sustainable development;Collective intelligences;Decentralised;Language model;Large language model;Large language model-based MAS;Model agents;Model-based OPC;Monetization;Multiagent systems (MASs);Multi agent systems,,
rayyan-496397669,Strategic Interactions in Science Communication: A Complex Adaptive Systems Framework,2025,,,Science Communication,,,,,"Henke, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014496420&doi=10.1177%2F10755470251363825&partnerID=40&md5=658e0c7a16f2e0549fa0aabe5b243035,English,,,,Export Date: 08 April 2026,10.1177/10755470251363825,complex adaptive systems;Science communication;systems theory;trust,,
rayyan-496397670,"MAgÏC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",2024,,,"EMNLP 2024 - 2024 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",,,,7315-7332,"Xu, L. and Hu, Z. and Zhou, D. and Ren, H. and Dong, Z. and Keutzer, K. and Ng, S.-K. and Feng, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214720002&doi=10.18653%2Fv1%2F2024.emnlp-main.416&partnerID=40&md5=2a480a4f81b408ac438f1daf8d5d1271,English,,,,"Export Date: 08 April 2026; Conference name: 2024 Conference on Empirical Methods in Natural Language Processing, EMNLP 2024; Conference date: 12 November 2024 through 16 November 2024; Conference code: 205882",10.18653/v1/2024.emnlp-main.416,Benchmarking;Economic and social effects;Intelligent agents;Natural language processing systems;Comprehensive evaluation;Evaluation framework;Language model;Language processing;Memory capabilities;Multi agent;Multi-agent environment;Natural languages;Probabilistic graphic models;Tool usages;Computational linguistics,,
rayyan-496397671,Mechanism Design for Large Language Models,2024,,,WWW 2024 - Proceedings of the ACM Web Conference,,,,144-155,"Dütting, P. and Mirrokni, V. and Paes Leme, R. and Xu, H. and Zuo, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194037996&doi=10.1145%2F3589334.3645511&partnerID=40&md5=a824d1484e658ddcdfdd93989627853f,English,,,,"Export Date: 08 April 2026; Conference name: 33rd ACM Web Conference, WWW 2024; Conference date: 13 May 2024 through 17 May 2024; Conference code: 199460",10.1145/3589334.3645511,large language models;mechanism design;online advertising;Computational linguistics;Aggregation functions;Auction model;Auctions mechanisms;Creatives;Incentive compatible;Language model;Large language model;Mechanism design;Online advertizing;Unique features;Machine design,,
rayyan-496397672,Strategic adoption of generative AI in organizations: A game-theoretic and network-based approach,2025,,,International Journal of Information Management,,84,,,"Seifdar, M.H. and Amiri, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006766759&doi=10.1016%2Fj.ijinfomgt.2025.102932&partnerID=40&md5=26d73005fa267fa1a75ce04ce0f0a6f2,English,,,,Export Date: 08 April 2026,10.1016/j.ijinfomgt.2025.102932,Adoption;Game Theory;Generative AI;Organization;Social Network;Human resource management;Adoption;Decisions makings;Game networks;Game-theoretic;Generative AI;Hierarchical structures;Network-based approach;Organisational;Organizational network;Social network;Risk perception,,
rayyan-496397673,LLM agent driven online auction mechanism for agricultural products,2025,,,Kybernetes,,,,1-21,"Feng, Y. and Wang, Z. and Chen, Y. and Zhao, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024421942&doi=10.1108%2FK-08-2024-2112&partnerID=40&md5=9721468decd3e8665b6e87fb499e9fe8,English,,,,Export Date: 08 April 2026,10.1108/K-08-2024-2112,Agricultural supply chain intelligence;Agricultural trading innovation;AI technology application;Intelligent agent systems;Agricultural machinery;Artificial intelligence;Benchmarking;Costs;Decision making;Electronic commerce;Electronic trading;Intelligent agents;International trade;Learning algorithms;Learning systems;Online systems;Smart agriculture;Agricultural supply chain intelligence;Agricultural supply chains;Agricultural trading innovation;AI Technologies;AI technology application;Information asymmetry;Intelligent agent system;Language model;Supply chain intelligence;Technology application;Agricultural products,,
rayyan-496397674,Emergent Cooperation and Strategy Adaptation in Multi-Agent Systems: An Extended Coevolutionary Theory with LLMs,2023,,,Electronics (Switzerland),,12,12,,"de Zarzà, I. and de Curtò, J. and Roig, G. and Manzoni, P. and Calafate, C.T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163806582&doi=10.3390%2Felectronics12122722&partnerID=40&md5=17670f7562e01ca3d1d9a41ee1a67e4d,English,,,,Export Date: 08 April 2026,10.3390/electronics12122722,cooperative games;game theory;human–computer interaction;large language models;multi-agent systems,,
rayyan-496397675,DouAgent: A Novel Hierarchical Agent Framework in Imperfect-Information Games,2025,,,"Proceedings - 2025 IEEE International Conference on Agentic AI, ICA 2025",,,,104-109,"Fang, Z. and Yu, C. and Yang, R. and Cai, C. and Zhang, Y. and Wei, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033358141&doi=10.1109%2FICA67499.2025.00032&partnerID=40&md5=33c5205cde9f8053c43e36fcbf331cc5,English,,,,"Export Date: 08 April 2026; Conference name: 2025 IEEE International Conference on Agentic AI, ICA 2025; Conference date: 5 December 2025 through 7 December 2025; Conference code: 219890",10.1109/ICA67499.2025.00032,Agent;Imperfect-information Game;Large Language Models;Computational methods;Decision making;Game theory;Observability;Action spaces;Agent Framework;Decisions makings;Imperfect information games;Language model;Large language model;Model-based OPC;Natural language understanding;Partial observability;Recent progress;Agents,,
rayyan-496397676,AGD: Adversarial Game Defense Against Jailbreak Attacks in Large Language Models,2025,,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,1,,17391-17406,"Pan, S. and Tian, Z. and Huang, Z. and Yu, W. and Wen, Z. and Liu, X. and Lu, K. and Huang, M. and Li, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021039606&doi=10.18653%2Fv1%2F2025.acl-long.851&partnerID=40&md5=b0f4ddd7464f7e444d6892f3dd9b8c2e,English,,,,"Export Date: 08 April 2026; Conference name: 63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025; Conference date: 27 July 2025 through 1 August 2025; Conference code: 213612",10.18653/v1/2025.acl-long.851,"",,
rayyan-496397677,ITERATIVE NASH POLICY OPTIMIZATION: ALIGNING LLMS WITH GENERAL PREFERENCES VIA NO-REGRET LEARNING,2025,,,"13th International Conference on Learning Representations, ICLR 2025",,,,69194-69210,"Zhang, Y. and Yu, D. and Peng, B. and Song, L. and Tian, Y. and Huo, M. and Jiang, N. and Mi, H. and Yu, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010285882&partnerID=40&md5=a3e2f938a471ec7d7f834fcba567e0e7,English,,,,"Export Date: 08 April 2026; Conference name: 13th International Conference on Learning Representations, ICLR 2025; Conference date: 24 April 2025 through 28 April 2025; Conference code: 209472",,Computation theory;Game theory;Machine learning;Nash equilibrium;Optimization;Bradley-Terry models;Feedback approach;Game-theoretic perspectives;Language model;Model assumptions;Nash policy;No-regret learning;Policy optimization;Reinforcement learnings;Two-player games;Iterative methods,,
rayyan-496397678,Collaborative Communication for Edge LLM Servicing in Adversarial Networks: An MARL-Empowered Stackelberg Game Approach,2025,,,IEEE Internet of Things Journal,,12,20,41309-41317,"Hong, L. and Pan, S. and Feng, F. and Jiao, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009360724&doi=10.1109%2FJIOT.2025.3583280&partnerID=40&md5=52ea723bacca064fc16733a306e29a46,English,,,,Export Date: 08 April 2026,10.1109/JIOT.2025.3583280,Collaborative communication;edge large language model (LLM) servicing;multiagent reinforcement learning (MARL);Stackelberg Game;Collaborative learning;Computation theory;Edge computing;Game theory;Network security;Relay control systems;Adversarial networks;Collaborative communications;Edge large language model servicing;Game approach;Language model;Malicious nodes;Multi-agent reinforcement learning;Rapid expansion;Relay node;Stackelberg Games;Multi agent systems,,
rayyan-496397679,"From Generative AI to Generative Internet of Things: Fundamentals, Framework, and Outlooks",2024,,,IEEE Internet of Things Magazine,,7,3,30-37,"Wen, J. and Nie, J. and Kang, J. and Niyato, D. and Du, H. and Zhang, Y. and Guizani, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193949983&doi=10.1109%2FIOTM.001.2300255&partnerID=40&md5=adaa4d594aa3d3bcd5f9cd8bb9389a44,English,,,,Export Date: 08 April 2026,10.1109/IOTM.001.2300255,Decision making;Network security;Artificial intelligence techniques;Block-chain;Case-studies;Decisions makings;Diffusion model;Incentive mechanism;Mechanism design;Smart surveillance;Traffic monitoring;Vehicle traffic;Internet of things,,
rayyan-496397680,Evaluating Negotiation Capabilities of Large Language Models: From Ultimatum Games to Nash Bargaining,2025,,,Proceedings of the Human Factors and Ergonomics Society,,69,1,1881-1886,"Bhattacharya, A. and Svedas, G. and Lyskov, A. and Strasser, M. and Barberis Canonico, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031686445&doi=10.1177%2F10711813251372102&partnerID=40&md5=c5e1b10d1485c1947ce2f189e32d2c6b,English,,,,"Export Date: 08 April 2026; Conference name: 69th Human Factors and Ergonomics Society Annual Meeting, HFES 2025; Conference date: 13 October 2025 through 17 October 2025; Conference code: 210706",10.1177/10711813251372102,artificial intelligence;game theory;large language models;Artificial intelligence;Behavioral research;Computation theory;Computational methods;Ergonomics;Human computer interaction;Intelligent agents;Behavior design;Harvard;Humaninteraction;Interactive agents;Language model;Large language model;Nash bargaining;Open-source;Ultimatum game;Work-flows;Game theory,,
rayyan-496397681,Optimization and Safety Control of Large Language Models in Legal Domains via Stackelberg Game,2025,,,"2025 10th IEEE International Conference on Advanced Robotics and Mechatronics, ICARM 2025",,,,766-771,"Xie, X. and Xing, L. and Zou, Z. and Sun, D. and Wang, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031783021&doi=10.1109%2FICARM65671.2025.11293618&partnerID=40&md5=b5c20ad89ef9a62f9bd7d34b1e1acf40,English,,,,"Export Date: 08 April 2026; Conference name: 2025 10th IEEE International Conference on Advanced Robotics and Mechatronics, ICARM 2025; Conference date: 1 August 2025 through 3 August 2025; Conference code: 218472",10.1109/ICARM65671.2025.11293618,Constraint theory;Decision making;Decision theory;Fuzzy set theory;Fuzzy sets;Game theory;Robust control;Robustness (control systems);Safety engineering;Control constraint;High reliability and safeties;Joint modules;Language model;Legal domains;Legal reasoning;Optimization control;Robot joint;Safety controls;Stackelberg Games;Uncertainty analysis,,
rayyan-496397682,Exploring Equilibrium Strategies in Network Games With Generative AI,2025,,,IEEE Network,,39,5,191-200,"Yang, Y. and Du, H. and Sun, G. and Xiong, Z. and Niyato, D. and Han, Z.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213517658&doi=10.1109%2FMNET.2024.3521887&partnerID=40&md5=bfa5af0992f3414a2ff0fa3f06948ce2,English,,,,Export Date: 08 April 2026,10.1109/MNET.2024.3521887,equilibrium solution derivation;game theoretical model formulation;game theory;Generative AI;Equilibria strategies;Equilibrium solution derivation;Equilibrium solutions;Game theoretical model formulation;Game theoretical models;Generative AI;In networks;Model formulation;Network game;Strategic interactions;Generative adversarial networks,,
rayyan-496397683,K-Level Reasoning: Establishing Higher Order Beliefs in Large Language Models for Strategic Reasoning,2025,,,"Proceedings of the 2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies: Long Papers, NAACL-HLT 2025",,1,,7212-7234,"Zhang, Y. and Mao, S. and Ge, T. and Wang, X. and Xia, Y. and Lan, M. and Wei, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027369798&doi=10.18653%2Fv1%2F2025.naacl-long.370&partnerID=40&md5=992a4bd62cf54a3351b3d6276e855993,English,,,,"Export Date: 08 April 2026; Conference name: 2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL-HLT 2025; Conference date: 29 April 2025 through 4 May 2025; Conference code: 215900",10.18653/v1/2025.naacl-long.370,Agents;Computational linguistics;Economics;Intelligent agents;Learning systems;Multi agent systems;Natural language processing systems;Agent beliefs;Changing environment;High-order;Higher-order;Language model;Model agents;Multi-agent environment;Reasoning framework;Reasoning tasks;Strategic reasoning;Game theory,,
rayyan-496397684,Game of Thoughts: Iterative Reasoning in Game-Theoretic Domains with Large Language Models,2025,,,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",,,,1088-1097,"Kempinski, B. and Gemp, I. and Larson, K. and Lanctot, M. and Bachrach, Y. and Kachman, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009810182&partnerID=40&md5=e1a466de7320621f63e69597710ea40e,English,,,,"Export Date: 08 April 2026; Conference name: 24th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2025; Conference date: 19 May 2025 through 23 May 2025; Conference code: 209812",,Game Theory;LLMs;Theory of Mind;Autonomous agents;Decision making;Iterative methods;Multi agent systems;Game-theoretic;Hierarchy models;Language model;Large language model;Reasoning capabilities;Resources allocation;Self-play;Strategic reasoning;Theory of minds;Thought process;Game theory,,
rayyan-496397685,Agentic Edge Intelligence: A Research Agenda,2025,,,"Proceedings of the 18th IEEE/ACM International Conference on Utility and Cloud Computing, UCC 2025",,,,,"Lovén, L. and Farahani, R. and Murturi, I. and Sigg, S. and Dustdar, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027190583&doi=10.1145%2F3773274.3777421&partnerID=40&md5=ed3c74642b6e0ad7562fca0d0d92bb26,English,,,,"Export Date: 08 April 2026; Conference name: 18th IEEE/ACM International Conference on Utility and Cloud Computing, UCC 2025; Conference date: 1 December 2025 through 4 December 2025; Conference code: 216294",10.1145/3773274.3777421,Agentic AI;Computing Continuum;Edge Intelligence;Large Language Model (LLM);Multi-agent Systems;Autonomous agents;Behavioral research;Commerce;Decision making;Edge computing;Intelligent agents;Interoperability;Agentic AI;Autonomous decision;Computing continuum;Decisions makings;Edge clouds;Edge intelligence;Language model;Large language model;Multiagent systems (MASs);Research agenda;Multi agent systems,,
rayyan-496397686,DO LLM AGENTS HAVE REGRET? A CASE STUDY IN ONLINE LEARNING AND GAMES,2025,,,"13th International Conference on Learning Representations, ICLR 2025",,,,71801-71821,"Park, C. and Liu, X. and Ozdaglar, A. and Zhang, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010280509&partnerID=40&md5=ad12752d020ad72e89516f7aaa88b7b5,English,,,,"Export Date: 08 April 2026; Conference name: 13th International Conference on Learning Representations, ICLR 2025; Conference date: 24 April 2025 through 28 April 2025; Conference code: 209472",,Agents;Benchmarking;Decision making;Decision theory;E-learning;Game theory;Learning algorithms;Multi agent systems;Personnel training;Case-studies;Decisions makings;Interactive decision making;Language model;Model agents;Model-based OPC;On-line games;Online learning;Performance;Pre-training;Autonomous agents,,
rayyan-496397687,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,2025,,,Proceedings - IEEE Symposium on Security and Privacy,,,,2190-2208,"Liu, Y. and Jia, Y. and Jia, J. and Song, D. and Gong, N.Z.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009319038&doi=10.1109%2FSP61157.2025.00250&partnerID=40&md5=98ed20bf3fbb5bf1a6115b3fa8cee7e7,English,,,,"Export Date: 08 April 2026; Conference name: 46th IEEE Symposium on Security and Privacy, SP 2025; Conference date: 12 May 2025 through 15 May 2025; Conference code: 209637",10.1109/SP61157.2025.00250,llm defense;prompt injection;Network security;Optimal detection;Detection methods;Fine tuning;Game-theoretic;Gradient-based method;Integrated applications;Llm defense;Minimax optimization;Optimization problems;Prompt injection;State of the art;Game theory,,
