key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-496397661,Effect of Private Deliberation: Deception of Large Language Models in Game Play,2024,,,Entropy,,26,6,,"Poje, K. and Brcic, M. and Kovac, M. and Babac, M.B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197914861&doi=10.3390%2Fe26060524&partnerID=40&md5=bed656f4068bf35bc2b227e4386d66db,English,,,,Export Date: 08 April 2026,10.3390/e26060524,decision making;game theory;generative agents;large language models;private deliberation,,
rayyan-496397664,Exploring the Potential of Large Language Models (LLMs) to Simulate Social Group Dynamics: A Case Study Using the Board Game “Secret Hitler”,2025,,,Northeast Journal of Complex Systems,,7,2,,"Hansteen Izora, K. and Teuscher, C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009433015&doi=10.63562%2F2577-8439.1111&partnerID=40&md5=dea7894b318e3b48a33664471cd36fab,English,,,,Export Date: 08 April 2026,10.63562/2577-8439.1111,"",,
rayyan-496397670,"MAgÏC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",2024,,,"EMNLP 2024 - 2024 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference",,,,7315-7332,"Xu, L. and Hu, Z. and Zhou, D. and Ren, H. and Dong, Z. and Keutzer, K. and Ng, S.-K. and Feng, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214720002&doi=10.18653%2Fv1%2F2024.emnlp-main.416&partnerID=40&md5=2a480a4f81b408ac438f1daf8d5d1271,English,,,,"Export Date: 08 April 2026; Conference name: 2024 Conference on Empirical Methods in Natural Language Processing, EMNLP 2024; Conference date: 12 November 2024 through 16 November 2024; Conference code: 205882",10.18653/v1/2024.emnlp-main.416,Benchmarking;Economic and social effects;Intelligent agents;Natural language processing systems;Comprehensive evaluation;Evaluation framework;Language model;Language processing;Memory capabilities;Multi agent;Multi-agent environment;Natural languages;Probabilistic graphic models;Tool usages;Computational linguistics,,
rayyan-496397680,Evaluating Negotiation Capabilities of Large Language Models: From Ultimatum Games to Nash Bargaining,2025,,,Proceedings of the Human Factors and Ergonomics Society,,69,1,1881-1886,"Bhattacharya, A. and Svedas, G. and Lyskov, A. and Strasser, M. and Barberis Canonico, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031686445&doi=10.1177%2F10711813251372102&partnerID=40&md5=c5e1b10d1485c1947ce2f189e32d2c6b,English,,,,"Export Date: 08 April 2026; Conference name: 69th Human Factors and Ergonomics Society Annual Meeting, HFES 2025; Conference date: 13 October 2025 through 17 October 2025; Conference code: 210706",10.1177/10711813251372102,artificial intelligence;game theory;large language models;Artificial intelligence;Behavioral research;Computation theory;Computational methods;Ergonomics;Human computer interaction;Intelligent agents;Behavior design;Harvard;Humaninteraction;Interactive agents;Language model;Large language model;Nash bargaining;Open-source;Ultimatum game;Work-flows;Game theory,,
rayyan-496397683,K-Level Reasoning: Establishing Higher Order Beliefs in Large Language Models for Strategic Reasoning,2025,,,"Proceedings of the 2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies: Long Papers, NAACL-HLT 2025",,1,,7212-7234,"Zhang, Y. and Mao, S. and Ge, T. and Wang, X. and Xia, Y. and Lan, M. and Wei, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027369798&doi=10.18653%2Fv1%2F2025.naacl-long.370&partnerID=40&md5=992a4bd62cf54a3351b3d6276e855993,English,,,,"Export Date: 08 April 2026; Conference name: 2025 Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics: Human Language Technologies, NAACL-HLT 2025; Conference date: 29 April 2025 through 4 May 2025; Conference code: 215900",10.18653/v1/2025.naacl-long.370,Agents;Computational linguistics;Economics;Intelligent agents;Learning systems;Multi agent systems;Natural language processing systems;Agent beliefs;Changing environment;High-order;Higher-order;Language model;Model agents;Multi-agent environment;Reasoning framework;Reasoning tasks;Strategic reasoning;Game theory,,
rayyan-496397684,Game of Thoughts: Iterative Reasoning in Game-Theoretic Domains with Large Language Models,2025,,,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",,,,1088-1097,"Kempinski, B. and Gemp, I. and Larson, K. and Lanctot, M. and Bachrach, Y. and Kachman, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009810182&partnerID=40&md5=e1a466de7320621f63e69597710ea40e,English,,,,"Export Date: 08 April 2026; Conference name: 24th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2025; Conference date: 19 May 2025 through 23 May 2025; Conference code: 209812",,Game Theory;LLMs;Theory of Mind;Autonomous agents;Decision making;Iterative methods;Multi agent systems;Game-theoretic;Hierarchy models;Language model;Large language model;Reasoning capabilities;Resources allocation;Self-play;Strategic reasoning;Theory of minds;Thought process;Game theory,,
rayyan-496397686,DO LLM AGENTS HAVE REGRET? A CASE STUDY IN ONLINE LEARNING AND GAMES,2025,,,"13th International Conference on Learning Representations, ICLR 2025",,,,71801-71821,"Park, C. and Liu, X. and Ozdaglar, A. and Zhang, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010280509&partnerID=40&md5=ad12752d020ad72e89516f7aaa88b7b5,English,,,,"Export Date: 08 April 2026; Conference name: 13th International Conference on Learning Representations, ICLR 2025; Conference date: 24 April 2025 through 28 April 2025; Conference code: 209472",,Agents;Benchmarking;Decision making;Decision theory;E-learning;Game theory;Learning algorithms;Multi agent systems;Personnel training;Case-studies;Decisions makings;Interactive decision making;Language model;Model agents;Model-based OPC;On-line games;Online learning;Performance;Pre-training;Autonomous agents,,
rayyan-496397688,COMPETING LARGE LANGUAGE MODELS IN MULTI-AGENT GAMING ENVIRONMENTS,2025,,,"13th International Conference on Learning Representations, ICLR 2025",,,,28932-28974,"Huang, J.-T. and Li, E.J. and Lam, M.H. and Liang, T. and Wang, W. and Yuan, Y. and Jiao, W. and Wang, X. and Tu, Z. and Lyu, M.R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010183122&partnerID=40&md5=1b05c20172f0e36f4aecaede0d7d7ba3,English,,,,"Export Date: 08 April 2026; Conference name: 13th International Conference on Learning Representations, ICLR 2025; Conference date: 24 April 2025 through 28 April 2025; Conference code: 209472",,"",,
rayyan-496397689,Learning Strategic Language Agents in the Werewolf Game with Iterative Latent Space Policy Optimization,2025,,,Proceedings of Machine Learning Research,,267,,69217-69239,"Xu, Z. and Gu, W. and Yu, C. and Wu, Y. and Wang, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023638981&partnerID=40&md5=75dd8d3ac181978325953850147305fa,English,,,,"Export Date: 08 April 2026; Conference name: 42nd International Conference on Machine Learning, ICML 2025; Conference date: 13 July 2025 through 19 July 2025; Conference code: 340759",,Abstracting;Decision making;Game theory;Iterative methods;Decisions makings;Freeforms;Game-theoretic;Language games;Language model;Model agents;Multisteps;Policy optimization;Space policy;Strategy space;Optimization,,
rayyan-496397691,The Illusion of Randomness: How LLMs Fail to Emulate Stochastic Decision-Making in Rock-Paper-Scissors Games?,2025,,,"EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2025",,,,8618-8637,"Guo, Z. and Lv, H. and Zhang, C. and Zhao, Y. and Zhang, Y. and Cui, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028952933&doi=10.18653%2Fv1%2F2025.findings-emnlp.458&partnerID=40&md5=2d09f869796c364ba33c2f7a8a550e60,English,,,,"Export Date: 08 April 2026; Conference name: 30th Conference on Empirical Methods in Natural Language Processing, EMNLP 2025; Conference date: 4 November 2025 through 9 November 2025; Conference code: 216600",10.18653/v1/2025.findings-emnlp.458,Behavioral research;Computational linguistics;Decision making;Decision theory;Nash equilibrium;Probability distributions;Semantics;Tools;Comprehensive evaluation;Decisions makings;Equal probability;Intrinsic bias;Language model;Nash equilibria;Probability: distributions;Stochastics;Strategic choice;Uniform distribution;Stochastic systems,,
