"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","DOI","Link","Abstract","Author Keywords","Index Keywords","Sponsors","Conference name","Conference date","Conference location","Conference code","Language of Original Document","Document Type","Publication Stage","Open Access","Source"
"Poje K.; Brcic M.; Kovac M.; Babac M.B.","Poje, Kristijan (57733596200); Brcic, Mario (55337913800); Kovac, Mihael (57795211700); Babac, Marina Bagic (22333653800)","57733596200; 55337913800; 57795211700; 22333653800","Effect of Private Deliberation: Deception of Large Language Models in Game Play","2024","Entropy","26","6","524","","","10.3390/e26060524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197914861&doi=10.3390%2Fe26060524&partnerID=40&md5=bed656f4068bf35bc2b227e4386d66db","Integrating large language model (LLM) agents within game theory demonstrates their ability to replicate human-like behaviors through strategic decision making. In this paper, we introduce an augmented LLM agent, called the private agent, which engages in private deliberation and employs deception in repeated games. Utilizing the partially observable stochastic game (POSG) framework and incorporating in-context learning (ICL) and chain-of-thought (CoT) prompting, we investigated the private agent’s proficiency in both competitive and cooperative scenarios. Our empirical analysis demonstrated that the private agent consistently achieved higher long-term payoffs than its baseline counterpart and performed similarly or better in various game settings. However, we also found inherent deficiencies of LLMs in certain algorithmic capabilities crucial for high-quality decision making in games. These findings highlight the potential for enhancing LLM agents’ performance in multi-player games using information-theoretic approaches of deception and communication with complex environments. © 2024 by the authors.","decision making; game theory; generative agents; large language models; private deliberation","","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Zheng R.; Guo H.; Liu Z.; Zhang X.; Yao Y.; Xu X.; Wang Z.; Xi Z.; Gui T.; Zhang Q.; Huang X.; Li H.; Liu Y.","Zheng, Rui (57222870424); Guo, Hongyi (57219506252); Liu, Zhihan (57238001800); Zhang, Xiaoying (57195955388); Yao, Yuanshun (57226339312); Xu, Xiaojun (58697037500); Wang, Zhaoran (56393977400); Xi, Zhiheng (57985773600); Gui, Tao (57211256586); Zhang, Qi (57203621188); Huang, Xuanjing (8983710700); Li, Hang (60362369500); Liu, Yang (57206665385)","57222870424; 57219506252; 57238001800; 57195955388; 57226339312; 58697037500; 56393977400; 57985773600; 57211256586; 57203621188; 8983710700; 60362369500; 57206665385","Toward Optimal LLM Alignments Using Two-Player Games","2025","EMNLP 2025 - 2025 Conference on Empirical Methods in Natural Language Processing, Findings of EMNLP 2025","","","","78","99","10.18653/v1/2025.findings-emnlp.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028985515&doi=10.18653%2Fv1%2F2025.findings-emnlp.6&partnerID=40&md5=4469f6d35b0eb78f24bf9ca1748ef78b","Alignment of large language models is a critical process designed to ensure that the model’s responses to user prompts accurately reflect human intentions and adhere to societal values. The standard Reinforcement Learning from Human Feedback (RLHF) framework primarily focuses on optimizing the performance of large language models using pre-collected prompts. However, collecting prompts that provide comprehensive coverage is both tedious and challenging, and often fails to include scenarios that LLMs need to improve on the most. In this paper, we investigate alignment through the lens of two-agent games, involving iterative interactions between an adversarial and a defensive agent. The adversarial agent’s task at each step is to generate prompts that expose the weakness of the defensive agent. In return, the defensive agent seeks to improve its responses to these newly identified prompts it “struggled” with, based on feedback from the reward model. We theoretically demonstrate that this iterative reinforcement learning optimization converges to a Nash Equilibrium for the game induced by the agents. Experimental results in safety scenarios demonstrate that learning in such a competitive environment not only fully trains agents but also leads to policies with enhanced generalization capabilities for both adversarial and defensive agents. Our code is released at https://github.com/ruizheng20/gpo. ©2025 Association for Computational Linguistics.","","Adversarial machine learning; Alignment; Computational linguistics; Feedback; Game theory; Nash equilibrium; Adversarial agent; Human intentions; Iterative interaction; Language model; Learning optimizations; Performance; Reinforcement learnings; Through the lens; Two agents; Two-player games; Agents","airbnb; Bailu; et al.; HPC-AI.COM; Miromind; Tencent","30th Conference on Empirical Methods in Natural Language Processing, EMNLP 2025","4 November 2025 through 9 November 2025","Suzhou","216600","English","Conference paper","Final","","Scopus"
"Ferenczi A.; Badica C.","Ferenczi, Andras (57807490700); Badica, Costin (8900004600)","57807490700; 8900004600","Consensus Without Authority: A Meta-Protocol Framework for Decentralized Collective Cognition","2025","Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics","","","","3641","3646","10.1109/SMC58881.2025.11342454","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033149543&doi=10.1109%2FSMC58881.2025.11342454&partnerID=40&md5=bbdc52b92673a2abccdcb1967585a45c","Modern applications increasingly rely on knowledge and collective wisdom. While the internet offers abundant sources, it is untrustworthy, incomplete, and essentially a vast, heterogeneous database lacking current information. With innovation accelerating exponentially, harnessing collective intelligence is essential to drive progress. We present Consensus Without Authority, a general, ledger-backed meta-protocol framework that transforms any group of self-interested actors into a trusted collective-intelligence engine. Each actor i produces a local insight LI-i = f-1( Q, θi), evaluates its peers Ui = f2({LIj}), and enters a two-phase commit-reveal cycle. Harmonizers aggregate votes V = f3({Ui}), synthesize candidate knowledge CKj = f4(V,{LIi}), and a smart contract finalizes each round r by CK(r) = f5({CKj}). We argue that, under majority-honest assumptions and token-weighted incentives, honest play is a Nash equilibrium and the framework converges to a unique fixed point even in Byzantine settings.While first applied to federated learning, the framework is not limited to distributed ML training. It supports socially scoped cognition, where actors contribute local knowledge and reasoning to a shared space, enriching common knowledge iteratively.Two case studies illustrate its range: (i) crowd-sourced RLHF, where dispersed annotators guide policy updates without sharing labels; (ii) federated LoRA tuning of large language models across siloed hospitals, achieving near-centralized accuracy under HIPAA and GDPR.We place the framework within an emerging ""AI-native stack"": a Byzantine ledger for immutable state, Google's A2A for agent-to-agent messaging, and Anthropic's MCP for secure tool access - together enabling a Cognitive Internet where autonomous agents learn, trade, and verify knowledge without centralized trust, creating a scalable, interoperable substrate for next-generation human-AI collaboration. © 2025 IEEE.","","Distributed ledger; Federated learning; Intelligent agents; Interoperability; Nash equilibrium; Network security; 'current; Centralised; Collective cognition; Collective intelligences; Decentralised; Heterogeneous database; Modern applications; Nash equilibria; Protocol framework; Two phase commit; Autonomous agents","IEEE; IEEE Systems, Man, and Cybernetics Society (SMC)","2025 IEEE International Conference on Systems, Man, and Cybernetics, SMC 2025","5 October 2025 through 8 October 2025","Hybrid, Vienna","219622","English","Conference paper","Final","","Scopus"
"Hansteen Izora K.; Teuscher C.","Hansteen Izora, Kaj (59968817200); Teuscher, Christof (7005902854)","59968817200; 7005902854","Exploring the Potential of Large Language Models (LLMs) to Simulate Social Group Dynamics: A Case Study Using the Board Game “Secret Hitler”","2025","Northeast Journal of Complex Systems","7","2","5","","","10.63562/2577-8439.1111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009433015&doi=10.63562%2F2577-8439.1111&partnerID=40&md5=dea7894b318e3b48a33664471cd36fab","This study explores the capacity of large language model (LLM)-powered agents to simulate human-like behavior in multiagent social systems. Using Secret Hitler—a hidden-role board game centered on trust, deception, and strategic communication—we evaluate how LLM agents navigate dynamic group interactions. Our findings show that agents exhibit human-like behaviors, including strategic tempo-ral adaptation, contextual reasoning, and complex social cognition such as theory of mind and implicit coordination. Notably, 85% of agent decisions factored in at least two other players’ mental states, highlighting their capacity for multi-agent mental state inference. However, they struggled with key aspects of human gameplay, including more nuanced strategic deception, emotional subtlety, and fluid conversational dynamics. These insights contribute to computational social science, agent-based modeling, and game theory, advancing our understanding of the potential of LLMs to simulate complex social interaction. © 2025, Binghamton University Libraries. All rights reserved.","","","","","","","","English","Article","Final","All Open Access; Gold Open Access","Scopus"
"Chakraborty R.; Singh P.P.","Chakraborty, Rajib (57207823175); Singh, Pavitar Parkash (57189578168)","57207823175; 57189578168","Development of Science Delay of Gratification Scale (SDOGS): Novel Amalgamation of Automated Item Generation, Genetic Algorithm, Nash equilibrium and Network Approaches in Psychometrics","2025","International Journal of Basic and Applied Sciences","14","3","","317","331","10.14419/tex0pd96","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012894638&doi=10.14419%2Ftex0pd96&partnerID=40&md5=e1b809216f9c220d503004e31eb85283","Delay of gratification is a critical variable of study in the context of self-regulated learning. A science domain-specific instrument to measure this variable was not found in the literature. A new five-point Likert scale to measure Science Delay of Gratification was developed, purified, validated, and tested for measurement invariance concerning gender and batch in 719 students (395 girls and 324 boys) studying in 9th and 10th classes and belonging to the secondary schools spread across six states of India. The initial pool of 35 items was developed using the neural network-based Automated Item Generation approach using ChatGPT version. 1.1.0, based on the Cognitive-Affective Personality System (CAPS) theory proposed by [43], covering its three dimensions (Cognitive, Affective, and Behavioral). A novel approach of fusing Genetic Algorithm and Nash equilibrium concepts was used to extract the final parsimonious version of the scale comprising 21 psychometrically optimal and purified items. Network Psychometrics was used for exploring and validating the network’s structure. Its invariance concerning gender and batch was also tested through a network consistency estimation technique. Appropriate packages of the open-source R version 4.2.3 were used to conduct the statistical analysis. The estimates of the obtained uniclustered network suggest the scale is psychometrically robust and displays invariance in measurement concerning gender and batch of the secondary school students. Open-ended responses from the sample subjects about the scale provided positive feedback about it studied using word cloud and thematic analysis. Implications of the study are discussed. © Rajib Chakraborty, Pavitar Parkash Singh.","Automated Item Generation; Genetic Algorithm; Nash Equilibrium; Network Psychometrics; Science Delay of Gratification; Secondary School Students","","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Sidji M.; Smith W.; Rogerson M.J.","Sidji, Matthew (58285309700); Smith, Wally (34880686900); Rogerson, Melissa J. (57192204355)","58285309700; 34880686900; 57192204355","Human-AI Collaboration in Cooperative Games: A Study of Playing Codenames with an LLM Assistant","2024","Proceedings of the ACM on Human-Computer Interaction","8","CHI PLAY","316","","","10.1145/3677081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207444371&doi=10.1145%2F3677081&partnerID=40&md5=7c15683f562b17239324cb115aab039f","Playing partial information, restricted communication, cooperative (PIRCC) games with humans have proven challenging for AI, due to our reliance on social dynamics and sophisticated cognitive techniques. Yet, recent advances in generative AI may change this situation through new forms of human-AI collaboration. This paper investigates how teams of players interact with an AI assistant in the PIRCC game Codenames and the impact this has on cognition, social dynamics, and player experience. We observed gameplay and conducted post-game focus groups with 54 participants across ten groups. Each group played three rounds of Codenames, with an AI assistant supporting Cluegivers. We found the AI assistant enhanced players’ convergent and divergent thinking, but interfered with formation of team mental models, highlighting a tension in the use of AI in creative team scenarios. The presence of the AI challenged many players’ understanding of the “spirit of the game”. Furthermore, the presence of the AI assistants weakened social connections between human teammates, but strengthened connections across teams. This paper provides an empirical account of an AI assistant’s effect on cognition, social dynamics, and player experience in Codenames. We highlight the opportunities and challenges that arise when designing hybrid digital boardgames that include AI assistants. © 2024 Association for Computing Machinery. All rights reserved.","boardgames; boardgames; human-AI Interaction; human-AI Teaming; Human-Computer Interaction; teaming; theory of mind","Cognitive systems; Computer games; Economic and social effects; Human engineering; Boardgame; Computer interaction; Cooperative game; Human-AI interaction; Human-AI teaming; Partial information; Social dynamics; Teaming; Theory of minds","","","","","","English","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
"Sun H.; Wu Y.; Cheng Y.; Chu X.","Sun, Haoran (58283683000); Wu, Yusen (59156952400); Cheng, Yukun (8283531200); Chu, Xu (57202792480)","58283683000; 59156952400; 8283531200; 57202792480","Game Theory Meets Large Language Models: A Systematic Survey","2025","IJCAI International Joint Conference on Artificial Intelligence","","","","10669","10677","10.24963/ijcai.2025/1184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021800912&doi=10.24963%2Fijcai.2025%2F1184&partnerID=40&md5=f4241b65ea4880f5ef7de9303ce5ba7d","Game theory establishes a fundamental framework for analyzing strategic interactions among rational decision-makers. The rapid advancement of large language models (LLMs) has sparked extensive research exploring the intersection of these two fields. Specifically, game-theoretic methods are being applied to evaluate and enhance LLM capabilities, while LLMs themselves are reshaping classic game models. This paper presents a comprehensive survey of the intersection of these fields, exploring a bidirectional relationship from three perspectives: (1) Establishing standardized game-based benchmarks for evaluating LLM behavior; (2) Leveraging game-theoretic methods to improve LLM performance through algorithmic innovations; (3) Characterizing the societal impacts of LLMs through game modeling. Among these three aspects, we also highlight how the equilibrium analysis for traditional game models is impacted by LLMs' advanced language understanding, which in turn extends the study of game theory. Finally, we identify key challenges and future research directions, assessing their feasibility based on the current state of the field. By bridging theoretical rigor with emerging AI capabilities, this survey aims to foster interdisciplinary collaboration and drive progress in this evolving research area. © 2025 International Joint Conferences on Artificial Intelligence. All rights reserved.","","Artificial intelligence; Benchmarking; Decision making; Decision theory; Surveying; Algorithmics; Decision makers; Game models; Game-Based; Game-theoretic; Language model; Modeling behaviour; Modeling performance; Societal impacts; Strategic interactions; Game theory","International Joint Conferences on Artifical Intelligence (IJCAI)","34th Internationa Joint Conference on Artificial Intelligence, IJCAI 2025","16 August 2025 through 22 August 2025","Montreal","214151","English","Conference paper","Final","","Scopus"
"Yang Y.; Peng Q.; Wang J.; Wen Y.; Zhang W.","Yang, Yingxuan (58521198700); Peng, Qiuying (57701533800); Wang, Jun (59945975500); Wen, Ying (57193525684); Zhang, Weinan (56108513500)","58521198700; 57701533800; 59945975500; 57193525684; 56108513500","Unlocking the Potential of Decentralized LLM-based MAS: Privacy Preservation and Monetization in Collective Intelligence","2025","Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS","","","","2896","2900","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009839532&partnerID=40&md5=4a7d7ad4bcc063af3ae15bee026fb9c5","Recent advances in large language models (LLMs) have enabled the development of LLM agents-autonomous systems capable of perceiving their environment, reasoning about tasks, and taking actions using external tools. While existing LLM-based Multi-Agent Systems (LaMAS) have shown promising results, they are predominantly centralized, operating within specific tasks or scenarios. These centralized designs simplify coordination but are fundamentally constrained by the limited data and knowledge available within a single entity. As LLM agents see broader deployment, the complexity of tasks increasingly requires collaboration across multiple organizations and data domains. Since organizations cannot and will not fully share their proprietary data, the next frontier of artificial intelligence lies in collective intelligence through decentralized LLM-based Multi-Agent Systems (LaMAS), where LLM agents, each accessing proprietary knowledge and tools, collaborate to solve complex tasks. This paradigm is becoming not just possible but necessary with the growing adoption of LLM agents across diverse organizations. This paper explores the transformative potential of decentralized LaMAS. In decentralized settings, two key issues arise: (1) privacy-preserving mechanisms that enable meaningful collaboration while safeguarding proprietary data and knowledge, and (2) monetization and credit attribution mechanisms that incentivize continuous improvement of agent capabilities and ensure fair value distribution among participants. Our analysis reveals that addressing these challenges can unlock a new paradigm of artificial collective intelligence that overcomes the limitations. This work contributes to decentralized AI by proposing a practical framework for mechanism design that advances both technological innovation and economic sustainability in decentralized LLM Agent networks. © 2025 International Foundation for Autonomous Agents and Multiagent Systems (www.ifaamas.org).","data privacy; LLM; LLM-based MAS; monetization","Autonomous agents; Complex networks; Decentralized systems; Intelligent agents; Machine design; Privacy-preserving techniques; Sustainable development; Collective intelligences; Decentralised; Language model; Large language model; Large language model-based MAS; Model agents; Model-based OPC; Monetization; Multiagent systems (MASs); Multi agent systems","Artificial Intelligence; Cooperative AI; DeepMind; et al.; Jane Street; Visit Detroit","24th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2025","19 May 2025 through 23 May 2025","Detroit","209812","English","Conference paper","Final","","Scopus"
"Henke J.","Henke, Justus (57213186173)","57213186173","Strategic Interactions in Science Communication: A Complex Adaptive Systems Framework","2025","Science Communication","","","10755470251363825","","","10.1177/10755470251363825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014496420&doi=10.1177%2F10755470251363825&partnerID=40&md5=658e0c7a16f2e0549fa0aabe5b243035","Science communication plays a crucial role in maintaining public trust in science amid complex societal challenges. This study addresses a gap in understanding science communication dynamics by conceptualizing it as a complex adaptive system of actors. It introduces the CASSCO (Complex Adaptive Systems in Science Communication) model, which integrates complex adaptive systems theory with game theory to analyze strategic interactions in science communication. The model encompasses decision-making processes, impact evaluation, and learning mechanisms among actors, distinguishing between altruistic and self-interested roles across three communication modes: dissemination, dialogue, and participation. By applying the CASSCO model to two scenarios—citizen science and generative AI—the study demonstrates its potential for predicting nonlinear dynamics and emergent outcomes in science communication. This approach yields insights into the impact of communication strategies on public trust and contestations of science. The CASSCO model serves as a strategic thinking template, enabling actors to select strategies while considering the behaviors of others. The study concludes with theoretical and practical implications, model limitations, and future research directions. © The Author(s) 2025","complex adaptive systems; Science communication; systems theory; trust","","","","","","","English","Article","Article in press","","Scopus"
"Xu L.; Hu Z.; Zhou D.; Ren H.; Dong Z.; Keutzer K.; Ng S.-K.; Feng J.","Xu, Lin (57218925767); Hu, Zhiyuan (58312794400); Zhou, Daquan (57215773046); Ren, Hongyu (57207374365); Dong, Zhen (57215773566); Keutzer, Kurt (7006459265); Ng, See-Kiong (7403358862); Feng, Jiashi (36439415700)","57218925767; 58312794400; 57215773046; 57207374365; 57215773566; 7006459265; 7403358862; 36439415700","MAgÏC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration","2024","EMNLP 2024 - 2024 Conference on Empirical Methods in Natural Language Processing, Proceedings of the Conference","","","","7315","7332","10.18653/v1/2024.emnlp-main.416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214720002&doi=10.18653%2Fv1%2F2024.emnlp-main.416&partnerID=40&md5=2a480a4f81b408ac438f1daf8d5d1271","Large Language Models (LLMs) have significantly advanced natural language processing, demonstrating exceptional reasoning, tool usage, and memory capabilities. As their applications expand into multi-agent environments, there arises a need for a comprehensive evaluation framework that captures LLMs' reasoning, planning, collaboration, and other social abilities. This work introduces a novel competition-based benchmark framework specifically designed to assess LLMs within multi-agent settings, providing quantitative metrics to evaluate their judgment, reasoning, deception, self-awareness, cooperation, coordination, and rationality. We utilize two social deduction games alongside three game-theory scenarios to create diverse environments. Our frame is fortified with the probabilistic graphic modeling (PGM) method, enhancing the LLMs' capabilities in navigating complex social and cognitive dimensions. We evaluate seven LLMs, quantitatively highlighting a significant capability gap of over threefold between the strongest, GPT o1, and the weakest, Llama-2-70B. It also confirms that our PGM enhancement boosts the abilities of all selected models by an average of 37%. Our data and code can be found here https://github.com/cathyxl/MAgIC. © 2024 Association for Computational Linguistics.","","Benchmarking; Economic and social effects; Intelligent agents; Natural language processing systems; Comprehensive evaluation; Evaluation framework; Language model; Language processing; Memory capabilities; Multi agent; Multi-agent environment; Natural languages; Probabilistic graphic models; Tool usages; Computational linguistics","Apple; Bloomberg; Citadel Securities; et al.; Google DeepMind; Meta","2024 Conference on Empirical Methods in Natural Language Processing, EMNLP 2024","12 November 2024 through 16 November 2024","Hybrid, Miami","205882","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus"
