Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
J;"Brookins, P; Debacker, J";;;;"Brookins, Philip; Debacker, Jason";;;Playing games with GPT: What can we learn about a large language model from canonical strategic games?;ECONOMICS BULLETIN;;;English;Article;;;;;;;;We aim to understand fundamental preferences over fairness and cooperation embedded in artificial intelligence (AI). We do this by having a large language model (LLM), GPT-3.5, play two classic games: the dictator game and the prisoner's dilemma game. We compare the decisions of the LLM to those of humans in laboratory experiments. We find that the LLM replicates human tendencies towards fairness and cooperation. It does not choose the optimal strategy in most cases. Rather, it shows a tendency towards fairness in the dictator game, even more so than human participants. In the prisoner's dilemma, the LLM displays rates of cooperation much higher than human participants (about 65% versus 37% for humans). These findings aid our understanding of the ethics and rationality embedded in AI.;;;;;;;;;;;;;;;;;;;;;;;;;2024;44;1;;;;;;;;;;;;14;;;Business & Economics;;;;;;;WOS:001311267600003;View Full Record in Web of Science
C;Mordo, T;;;ACM;Mordo, Tommy;;;The Agent Perspective In LLM-Based Strategic Information Retrieval Ecosystems;PROCEEDINGS OF THE 48TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL, SIGIR 2025;;;English;Proceedings Paper;48th Conference on Research and Development in Information Retrieval-RDIR;JUL 13-18, 2025;ITALY;;;"competitive search; sponsored search; LLM";;The rise of generative AI and the emergence of Large Language Models (LLMs) have sparked a new line of research on the evolution of strategic information retrieval ecosystems. My research adopts an agent-based perspective to analyze sponsored search and competitive search ecosystems. The primary motivation of my work is to examine how agent strategies influence social welfare and the existence of equilibrium. To that end, I leverage frameworks from game theory and mechanism design.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;4206;4206;;10.1145/3726302.3730125;http://dx.doi.org/10.1145/3726302.3730125;;;1;;;Computer Science;;;gold;;;;WOS:001587983900498;View Full Record in Web of Science
J;"de Curtò, J; de Zarzà, I";;;;"de Curto, J.; de Zarza, I.";;;LLM-Driven Social Influence for Cooperative Behavior in Multi-Agent Systems;IEEE ACCESS;;;English;Article;;;;;;"Multi-agent systems; Nash equilibrium; Shape; Monitoring; Measurement; Large language models; Adaptation models; Sustainable development; Social networking (online); Feedback loop; large language models; social influence; game theory; NASH equilibrium; rural repopulation";;This paper presents a novel approach to fostering cooperative behavior in multi-agent systems (MAS) through Large Language Model (LLM)-driven social influence. We propose a theoretical framework where agents' decision-making processes are influenced not through direct action but by subtle, narrative- driven influences disseminated by LLMs. These influences guide agents toward cooperative behaviors, such as rural repopulation, without requiring explicit policy interventions. We introduce a formal model grounded in game theory and social network dynamics, where agents balance the direct benefits of action with the indirect payoffs of LLM-guided influence. Using NASH equilibrium and Evolutionarily Stable Strategies (ESS), we demonstrate how cooperative behaviors emerge even when agents remain inactive but are subtly influenced by LLMs. Our experimental simulations validate the model, showing a strong positive correlation between network centrality and influence propagation (r = 0.969, p < 0.006). Furthermore, temporal analysis reveals that the average influence increases from approximately 0.05-0.06 in the initial steps to 0.08-0.09 in later stages, indicating a cumulative and self-sustaining trend. In addition, the influence values exhibit a near-normal distribution (Shapiro-Wilk test, p = 0.285) and yield a large effect size (Cohen's d = 4.530) when comparing agents with high versus low network centrality. Through visualization techniques and statistical metrics, we demonstrate the effectiveness of the proposed framework and identify promising directions for future research in AI-driven social influence. This study highlights the potential of LLM-driven narratives as a cost-effective, scalable alternative to traditional policy interventions, offering a new paradigm for promoting societal cooperation in areas such as rural repopulation, sustainability, and community development.;;;;;;;;;;;;;;;;;;;;;;;;;2025;13;;;;;;44330;44342;;10.1109/ACCESS.2025.3548451;http://dx.doi.org/10.1109/ACCESS.2025.3548451;;;13;;;"Computer Science; Engineering; Telecommunications";;;Green Submitted, gold;;;;WOS:001445065100045;View Full Record in Web of Science
J;Yoon, S;;;;Yoon, Sungwook;;;Strategic Learning Under Linguistic and Contextual Constraints: A Theoretical Framework for LLM-Based Multi-Agent Coordination;IEEE ACCESS;;;English;Article;;;;;;"Uncertainty; Artificial intelligence; Semantics; Linguistics; Convergence; Nash equilibrium; Complexity theory; Natural languages; Systematics; Games; Context-constrained games; game theory; large language models; linguistic uncertainty; multi-agent coordination; natural language processing; strategic communication";;This study introduces mathematical frameworks for analyzing strategic coordination in large-language-model-based multi-agent systems operating under context-window limitations and semantic uncertainty. The proposed Context-Constrained Nash Equilibrium (CCNE) and Linguistic Uncertainty Game (LUG) frameworks extend classical game theory to capture bounded-memory reasoning and linguistic ambiguity inherent in realistic AI coordination scenarios. Theoretical analysis establishes the existence of equilibria, derives convergence and performance bounds, and identifies phase-transition phenomena that govern coordination effectiveness. Empirical validation across diverse tasks confirms strong alignment between theoretical predictions and observed coordination behaviors, demonstrating the descriptive and predictive power of the frameworks. The results provide both rigorous mathematical foundations and actionable design insights for developing safe, efficient, and predictable multi-agent AI systems under realistic operating constraints.;;;;;;;;;;;;;;;;;;;;;;;;;2025;13;;;;;;197053;197071;;10.1109/ACCESS.2025.3628927;http://dx.doi.org/10.1109/ACCESS.2025.3628927;;;19;;;"Computer Science; Engineering; Telecommunications";;;Green Submitted, gold;;;;WOS:001626856800023;View Full Record in Web of Science
C;Silva, A;;"LeCadre, H; Hayel, Y; Tuffin, B; Chahed, T";;Silva, Alonso;;;Large Language Models Playing Mixed Strategy Nash Equilibrium Games;NETWORK GAMES, ARTIFICIAL INTELLIGENCE, CONTROL AND OPTIMIZATION, NETGCOOP 2024;Lecture Notes in Computer Science;;English;Proceedings Paper;11th International Conference on Network Games, Control and Optimization;OCT 09-11, 2024;Lille, FRANCE;;;"Game Theory; LLMs; Generative AI";;Generative artificial intelligence (Generative AI), and in particular Large Language Models (LLMs), has gained significant popularity among researchers and industrial communities, paving the way for the integration of LLMs in different domains, such as robotics, telecom, and healthcare. In this paper, we study the intersection of game theory and generative artificial intelligence, focusing on the capabilities of LLMs to find the Nash equilibrium in games with a mixed strategy Nash equilibrium and no pure strategy Nash equilibrium (that we denote mixed strategy Nash equilibrium games). The study reveals a significant enhancement in the performance of LLMs when they are equipped with the possibility to run code and are provided with a specific prompt to incentivize them to do so. However, our research also highlights the limitations of LLMs when the randomization strategy of the game is not easy to deduce. It is evident that while LLMs exhibit remarkable proficiency in well-known standard games, their performance dwindles when faced with slight modifications of the same games. This paper aims to contribute to the growing body of knowledge on the intersection of game theory and generative artificial intelligence while providing valuable insights into LLMs strengths and weaknesses. It also underscores the need for further research to overcome the limitations of LLMs, particularly in dealing with even slightly more complex scenarios, to harness their full potential.;;;;;;;;;;;;;;;;;;;;;;;;;2025;15185;;;;;;142;152;;10.1007/978-3-031-78600-6_13;http://dx.doi.org/10.1007/978-3-031-78600-6_13;;;11;;;"Computer Science; Telecommunications";;;;;;;WOS:001447369400013;View Full Record in Web of Science
C;"Xu, L; Hu, ZY; Zhou, DQ; Ren, HY; Dong, Z; Keutzer, K; Ng, SK; Feng, JS";;"Al-Onaizan, Y; Bansal, M; Chen, YN";;"Xu, Lin; Hu, Zhiyuan; Zhou, Daquan; Ren, Hongyu; Dong, Zhen; Keutzer, Kurt; Ng, See-Kiong; Feng, Jiashi";;;MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration;2024 CONFERENCE ON EMPIRICAL METHODS IN NATURAL LANGUAGE PROCESSING, EMNLP 2024;;;English;Proceedings Paper;29th Conference on Empirical Methods in Natural Language Processing;NOV 12-16, 2024;Miami, FL;;;;;Large Language Models (LLMs) have significantly advanced natural language processing, demonstrating exceptional reasoning, tool usage, and memory capabilities. As their applications expand into multi-agent environments, there arises a need for a comprehensive evaluation framework that captures LLMs' reasoning, planning, collaboration, and other social abilities. This work introduces a novel competition-based benchmark framework specifically designed to assess LLMs within multi-agent settings, providing quantitative metrics to evaluate their judgment, reasoning, deception, self-awareness, cooperation, coordination, and rationality. We utilize two social deduction games alongside three game-theory scenarios to create diverse environments. Our frame is fortified with the probabilistic graphic modeling (PGM) method, enhancing the LLMs' capabilities in navigating complex social and cognitive dimensions. We evaluate seven LLMs, quantitatively highlighting a significant capability gap of over threefold between the strongest, GPT o1, and the weakest, Llama-2-70B. It also confirms that our PGM enhancement boosts the abilities of all selected models by an average of 37%. Our data and code can be found here https://github.com/cathyxl/MAgIC.;;;;;;;;;;;;;;;;;;;;;;;;;2024;;;;;;;7315;7332;;;;;;18;;;"Computer Science; Linguistics";;;;;;;WOS:001431695500416;View Full Record in Web of Science
C;"Xie, Y; Zhou, ZK; Cao, CT; Niu, QY; Liu, TL; Han, B";;"Singh, A; Fazel, M; Hsu, D; Lacoste-Julien, S; Berkenkamp, F; Maharaj, T; Wagstaff, K; Zhu, J";;"Xie, Yi; Zhou, Zhanke; Cao, Chentao; Niu, Qiyu; Liu, Tongliang; Han, Bo";;;From Debate to Equilibrium: Belief-Driven Multi-Agent LLM Reasoning via Bayesian Nash Equilibrium;INTERNATIONAL CONFERENCE ON MACHINE LEARNING;Proceedings of Machine Learning Research;;English;Proceedings Paper;42nd International Conference on Machine Learning-ICML-Annual;JUL 13-19, 2025;Vancouver, CANADA;;;;;Multi-agent frameworks can substantially boost the reasoning power of large language models (LLMs), but they typically incur heavy computational costs and lack convergence guarantees. To overcome these challenges, we recast multi-LLM coordination as an incomplete-information game and seek a Bayesian Nash equilibrium (BNE), in which each agent optimally responds to its probabilistic beliefs about the strategies of others. We introduce Efficient Coordination via Nash Equilibrium (ECON), a hierarchical reinforcementlearning paradigm that marries distributed reasoning with centralized final output. Under ECON, each LLM independently selects responses that maximize its expected reward, conditioned on its beliefs about co-agents, without requiring costly inter-agent exchanges. We mathematically prove that ECON attains a markedly tighter regret bound than non-equilibrium multi-agent schemes. Empirically, ECON outperforms existing multi-LLM approaches by 11.2% on average across six benchmarks spanning complex reasoning and planning tasks. Further experiments demonstrate ECON's ability to flexibly incorporate additional models, confirming its scalability and paving the way toward larger, more powerful multi-LLM ensembles. The code is publicly available at: https: //github.com/tmlr-group/ECON.;;;;;;;;;;;;;;;;;;;;;;;;;2025;267;;;;;;72277;72316;;;;;;40;;;Computer Science;;;;;;;WOS:001693170600193;View Full Record in Web of Science
J;"Khaki, AMZ; Choi, A; Seyyed-Kalantari, L";;;;"Khaki, Ahmad Mouri Zadeh; Choi, Ahyoung; Seyyed-Kalantari, Laleh";;;Simulating Social Behavior of LLM-Based Autonomous Negotiator Agents in a Game-Theoretical Framework Using Multi-Agent Systems;INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION;;;English;Article;;;;;;"Decision-making; game theory; large language models; multi-agent systems; social behavior; strategic reasoning";;Simulation is a widely used approach for evaluating system performance, robustness, and potential issues during design and testing. Large Language Models (LLMs) have recently shown strong potential in autonomous agent systems, including negotiation tasks-a core aspect of commerce. This paper evaluates LLM-based autonomous negotiator agents (LANAs) in a buyer-seller bargaining game to assess their decision-making and reasoning. We simulate interactions between agents embodying contrasting social behaviors: (a) Cunning vs. Kind, and (b) Greedy vs. Generous. By analyzing both the game outcomes and the agents' internal reasoning, we find that LLMs can effectively simulate distinct social behaviors in both dialogue and decision-making. Our results offer insights into how social traits affect negotiation dynamics, emphasizing the importance of clear policy design to ensure fairness and reliability in LANA-based systems.;;;;;;;;;;;;;;;;;;;;;;;;DEC 2;2025;41;23;;;;;15169;15178;;10.1080/10447318.2025.2495117;http://dx.doi.org/10.1080/10447318.2025.2495117;;MAY 2025;10;;;"Computer Science; Engineering";;;;;;;WOS:001488674300001;View Full Record in Web of Science
C;"Pan, DW; Chen, WL; Shi, J; Wu, CY; Wang, D; Hong, CS; Han, Z";;;IEEE;"Pan, Dingwen; Chen, Weilong; Shi, Jian; Wu, Chenye; Wang, Dan; Hong, Choong Seon; Han, Zhu";;;Cooperation and Decision-Making of LLM Agents in Bayesian-Informed Infinitely Repeated Games;2025 59TH ANNUAL CONFERENCE ON INFORMATION SCIENCES AND SYSTEMS, CISS;Annual Conference on Information Sciences and Systems;;English;Proceedings Paper;59th Conference on Information Sciences and Systems-CISS-Annual;MAR 19-21, 2025;Baltimore, MD;;;"large language model; infinitely repeated games; bayesian inference";;The rapid development of large language models (LLMs) has significantly increased their engagement frequency in our daily lives. Due to the large amount usage of LLM agents, users are beginning to consider whether agents can serve as reliable and cooperative assistants for their benefit. To this end, game theory, as an effective tool in the study of strategic interactions, has gathered attention and has been employed in the research field of LLMs, particularly in exploring their interactions with users. Most previous studies focused on the performance of LLMs in static games or finitely repeated games, but these studies are relatively simplistic and fail to fully capture the characteristics of User-LLM interactions. To address the issues, our research proposes a novel approach using infinitely repeated games to analyze LLMs' behavioral traits. Bayesian inference is incorporated by providing probabilistic information to assist LLMs in their decision-making process, using the beta distribution as both the prior and posterior for consistency. We conduct a case study over the trending LLMs: GPT3, GPT4 and Llama3. Experimental results demonstrate that LLMs outperform the mixed Nash equilibrium in infinitely repeated games, indicating their capability for cooperation in repeated interactions. The integration of Bayesian inference shows that LLMs can effectively process probabilistic information and improve their performance by an average of 5.26%. Our findings suggest that LLM agents have the preference to consider future payoffs rather than only caring about single-stage rewards, as well as the ability to build and maintain long-term cooperative relationships with users.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;;;;10.1109/CISS64860.2025.10944679;http://dx.doi.org/10.1109/CISS64860.2025.10944679;;;6;;;Computer Science;;;;;;;WOS:001480858000018;View Full Record in Web of Science
J;Lu, SE;;;;Lu, Siting Estee;;;Game-theory behaviour of large language models: The case of Keynesian beauty contests;ECONOMICS AND BUSINESS REVIEW;;;English;Article;;;;;;"large language models; economic games; strategic interactions; C63; C70; C90";;The growing adoption of large language models (LLMs) presents potential for deeper understanding of human behaviours within game theory frameworks. This paper examines strategic interactions among multiple types of LLM-based agents in a classical beauty contest game. LLM-based agents demonstrate varying depth of reasoning that fall within a range of level-0 to 1, which are lower than experimental results conducted with human subjects in previous studies. However, they do display a similar convergence pattern towards Nash Equilibrium choice in repeated settings. Through simulations that vary the group composition of agent types, I found that environments with a lower strategic uncertainty enhance convergence for LLM-based agents, and environments with mixed strategic types accelerate convergence for all. Results with simulated agents not only convey insights into potential human behaviours in competitive settings, but also prove valuable for understanding strategic interactions among algorithms.;;;;;;;;;;;;;;;;;;;;;;;;JUN 1;2025;11;2;;;;;119;148;;10.18559/ebr.2025.2.2182;http://dx.doi.org/10.18559/ebr.2025.2.2182;;;30;;;Business & Economics;;;Green Submitted, gold;;;;WOS:001524103800002;View Full Record in Web of Science
C;Yin, Y;;;ACM;Yin, Yue;;;Too Much Information? Investigating Information Disclosure in Auction Systems with LLM Simulations;EXTENDED ABSTRACTS OF THE 2025 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2025;;;English;Proceedings Paper;2025 Conference on Human Factors in Computing Systems-CHI;APR 26-MAY 01, 2025;Yokohama, JAPAN;;;"Multi-Agent Simulation; Information Asymmetry; Strategic Information Disclosure; Large Language Models (LLMs); Mechanism Design; Digital Advertising System";;Online advertising relies on auction systems to allocate advertisement impressions efficiently and maximize revenue. A defining characteristic of these systems is information asymmetry: publishers (auctioneers) have access to detailed data, while bidders rely on limited signals. Understanding how information disclosure strategies shape bidder behavior and auction outcomes is essential for designing adaptive, user-centered advertising systems. This paper introduces InfoBid, a simulation framework powered by large language models (LLMs) to study the impact of information signaling in auction environments. This simulation framework enables researchers to analyze how information disclosure affects decision-making and system performance. By offering a flexible and extensible testbed, InfoBid advances Human-Computer Interaction (HCI) methodologies for studying multi-agent interactions, adaptive decision-making, and information sharing in complex digital marketplaces.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;;;;10.1145/3706599.3720022;http://dx.doi.org/10.1145/3706599.3720022;;;8;;;"Computer Science; Robotics";;;;;;;WOS:001496972000529;View Full Record in Web of Science
J;"Yang, YQ; Du, HY; Sun, G; Xiong, ZH; Niyato, D; Han, Z";;;;"Yang, Yaoqi; Du, Hongyang; Sun, Geng; Xiong, Zehui; Niyato, Dusit; Han, Zhu";;;Exploring Equilibrium Strategies in Network Games With Generative AI;IEEE NETWORK;;;English;Article;;;;;;"Game theory; Artificial intelligence; Generative AI; Predictive models; Digital twins; Data models; Analytical models; Standards; Adaptation models; game theory; game theoretical model formulation; equilibrium solution derivation";;Game theory offers a powerful framework for analyzing strategic interactions among decision-makers, providing tools to model, analyze, and predict their behavior. However, implementing game theory can be challenging due to difficulties in deriving solutions, understanding interactions, and ensuring optimal performance. Traditional non-AI and discriminative AI approaches have made valuable contributions but struggle with limitations in handling large-scale games and dynamic scenarios. In this context, generative AI emerges as a promising solution because of its superior data analysis and generation capabilities. This paper comprehensively summarizes the challenges, solutions, and outlooks of combining generative AI with game theory. We start with reviewing the limitations of traditional non-AI and discriminative AI approaches in employing game theory, and then highlight the necessity and advantages of integrating generative AI. Next, we explore the applications of generative AI in various stages of the game theory lifecycle, including model formulation, solution derivation, and strategy improvement. Additionally, from game theory viewpoint, we propose a generative AI-enabled framework for optimizing machine learning model performance against false data injection attacks, supported by a case study to demonstrate its effectiveness. Finally, we outline future research directions for generative AI-enabled game theory, paving the way for its further advancements and development.;;;;;;;;;;;;;;;;;;;;;;;;SEP;2025;39;5;;;;;191;200;;10.1109/MNET.2024.3521887;http://dx.doi.org/10.1109/MNET.2024.3521887;;;10;;;"Computer Science; Engineering; Telecommunications";;;;;;;WOS:001575784600026;View Full Record in Web of Science
